activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.97450393,0.0,1.0,0.0,0.0049564832571175,0.3333333333333333,0.6817234190410006,awake
0.0,0.5,0.0,0.97440475,0.6042645,1.0,0.0,0.0021537099867237,0.3333333333333333,0.6824183460736623,awake
0.25,0.5,3.213375e-07,0.9743056,0.5974452,1.0,0.0,0.0036288538132467,0.3333333333333333,0.6831132731063239,awake
0.0,0.5,3.213375e-07,0.9743056,0.5974452,1.0,0.0,0.0022127157397846,0.3333333333333333,0.6831132731063239,awake
0.25,0.5,3.213375e-07,0.9742063,0.53610444,1.0,0.0,0.0031568077887594,0.3333333333333333,0.6838082001389854,awake
0.25,0.5,6.42675e-07,0.9741071,0.5698876,1.0,0.0,0.002625756011211,0.3333333333333333,0.684503127171647,awake
0.25,0.5,6.42675e-07,0.97400796,0.5800107,1.0,0.0,0.0012686236908098,0.3333333333333333,0.6851980542043086,awake
0.25,0.5,6.42675e-07,0.97400796,0.5800107,1.0,0.0,0.0016226582091753,0.3333333333333333,0.6851980542043086,awake
0.25,0.5,9.640124e-07,0.9739088,0.57965434,1.0,0.0,0.0019766927275409,0.3333333333333333,0.6858929812369701,awake
0.25,0.5,9.640124e-07,0.97380954,0.5800492,1.0,0.0,0.0025667502581501,0.3333333333333333,0.6865879082696317,awake
0.0,0.5,9.640124e-07,0.97380954,0.5800492,1.0,0.0,0.0017996754683581,0.3333333333333333,0.6865879082696317,awake
0.0,0.5,1.28535e-06,0.97371024,0.61411387,1.0,0.0,0.0011801150612184,0.3333333333333333,0.6872828353022933,awake
0.25,0.5,1.28535e-06,0.97371024,0.61411387,1.0,0.0,0.0013276294438707,0.3333333333333333,0.6872828353022933,awake
0.25,0.5,1.28535e-06,0.9736111,0.5835153,1.0,0.0,0.0029502876530461,0.3333333333333333,0.6879777623349548,awake
0.0,0.5,1.28535e-06,0.9736111,0.5835153,1.0,0.0,0.0019471898510104,0.3333333333333333,0.6879777623349548,awake
0.25,0.5,1.28535e-06,0.97351193,0.58192897,1.0,0.0,0.0028322761469243,0.3333333333333333,0.6886726893676164,awake
0.75,0.5,1.6066874e-06,0.9734127,0.58719087,1.0,0.0,0.0004425431479569,0.3333333333333333,0.689367616400278,awake
0.75,0.5,1.6066874e-06,0.97331345,0.6885233,1.0,0.0,0.0009735949255052,0.3333333333333333,0.6900625434329395,awake
0.75,0.5,1.9280249e-06,0.97321427,0.6234363,1.0,0.0,0.0088508629591385,0.3333333333333333,0.6907574704656011,awake
0.75,0.5,1.9280249e-06,0.97321427,0.6234363,1.0,0.0,0.0028322761469243,0.3333333333333333,0.6907574704656011,awake
0.75,0.5,2.2493623e-06,0.97311515,0.6602702,0.0,1.0,0.0,0.3333333333333333,0.6914523974982627,awake
0.75,0.5,2.2493623e-06,0.97301584,0.53913915,0.0,1.0,0.0,0.3333333333333333,0.6921473245309242,awake
0.75,0.5,2.2493623e-06,0.97301584,0.53913915,0.0,1.0,0.0,0.3333333333333333,0.6921473245309242,awake
0.75,0.5,2.2493623e-06,0.9729166,0.5640448,0.0,1.0,0.0,0.3333333333333333,0.6928422515635858,awake
0.75,0.5,2.5707e-06,0.9729166,0.5640448,0.0,1.0,0.0,0.3333333333333333,0.6928422515635858,awake
0.75,0.5,2.5707e-06,0.9728175,0.5408288,0.0,1.0,0.0,0.3333333333333333,0.6935371785962474,awake
0.75,0.5,2.5707e-06,0.9728175,0.5408288,1.0,0.0,0.1554211535624723,0.3333333333333333,0.6935371785962474,awake
0.75,0.5,2.5707e-06,0.9727183,0.5398615,0.0,1.0,0.0,0.3333333333333333,0.6942321056289089,awake
0.75,0.5,2.5707e-06,0.9727183,0.5398615,0.0,1.0,0.0,0.3333333333333333,0.6942321056289089,awake
0.25,0.5,2.8920374e-06,0.97261906,0.5390474,0.0,1.0,0.0,0.3333333333333333,0.6949270326615705,awake
0.25,0.5,2.8920374e-06,0.97261906,0.5390474,0.0,1.0,0.0,0.3333333333333333,0.6949270326615705,awake
0.0,0.5,3.2133748e-06,0.97242063,0.5421042,1.0,0.0,0.0,0.3333333333333333,0.6963168867268936,awake
0.0,0.5,3.2133748e-06,0.9723215,0.5394565,1.0,0.0,0.0,0.3333333333333333,0.6970118137595552,awake
0.0,0.5,3.2133748e-06,0.9723215,0.5394565,1.0,0.0,0.0,0.3333333333333333,0.6970118137595552,awake
1.0,0.5,3.5347123e-06,0.9722222,0.5387495,1.0,0.0,0.0,0.3333333333333333,0.6977067407922168,awake
