activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.98650795,0.0,1.0,0.0,0.0,0.0,0.5948575399583044,awake
0.25,0.0,6.423841e-07,0.98621035,0.52135944,1.0,0.0,0.0,0.0,0.5969423210562891,awake
0.25,0.0,6.423841e-07,0.9861111,0.52244455,1.0,0.0,0.0,0.0,0.5976372480889507,awake
0.25,0.0,1.2847682e-06,0.98571426,0.52081233,1.0,0.0,0.0,0.0,0.6004169562195969,awake
0.25,0.0,1.2847682e-06,0.98571426,0.5409564,1.0,0.0,0.0,0.0,0.6004169562195969,awake
0.25,0.0,1.6059603e-06,0.985615,0.5524872,1.0,0.0,0.0,0.0,0.6011118832522585,awake
0.25,0.0,1.6059603e-06,0.9855159,0.5524872,1.0,0.0,0.0,0.0,0.6018068102849201,awake
0.25,0.0,1.6059603e-06,0.9854167,0.52208877,1.0,0.0,0.0,0.0,0.6025017373175816,awake
0.25,0.0,2.5695365e-06,0.9848214,0.52000445,1.0,1.0,0.0,0.0,0.606671299513551,awake
0.25,0.0,2.5695365e-06,0.9848214,0.5380359,1.0,1.0,0.0,0.0,0.606671299513551,awake
0.25,0.0,5.7814573e-06,0.9827381,0.54589826,1.0,1.0,0.0,0.0,0.621264767199444,awake
0.25,0.0,7.0662254e-06,0.98194444,0.52691793,1.0,1.0,0.0,0.0,0.6268241834607367,awake
0.25,0.0,8.672186e-06,0.9809524,0.52209216,1.0,1.0,0.0,0.0,0.6337734537873523,awake
0.25,0.0,9.31457e-06,0.9804563,0.5411773,1.0,1.0,0.0,0.0,0.6372480889506602,awake
0.0,0.0,1.1562915e-05,0.978869,0.0,1.0,0.0,0.0,0.0,0.6483669214732453,awake
0.25,0.0,1.2205298e-05,0.9785714,0.5545189,1.0,1.0,0.0,0.0,0.65045170257123,awake
0.25,0.0,1.2847682e-05,0.9781746,0.5727266,1.0,1.0,0.0,0.0,0.6532314107018763,awake
0.25,0.0,1.44536425e-05,0.97718257,0.5417059,1.0,1.0,0.0,0.0,0.660180681028492,awake
0.25,0.0,1.44536425e-05,0.9770834,0.5385415,1.0,1.0,0.0,0.0,0.6608756080611535,awake
0.25,0.0,1.5096027e-05,0.9765873,0.54387593,1.0,1.0,0.0,0.0,0.6643502432244615,awake
0.75,0.0,1.6380794e-05,0.97579366,0.5408163,0.0,1.0,0.0,0.0,0.669909659485754,awake
0.75,0.0,1.6701988e-05,0.97559524,0.52146083,0.0,1.0,0.0,0.0,0.6712995135510771,awake
0.0,0.0,1.6701988e-05,0.9754961,0.52261734,1.0,0.0,0.0,0.0,0.6719944405837387,awake
0.25,0.0,1.702318e-05,0.9752976,0.53555554,1.0,0.0,0.0,0.0,0.6733842946490618,awake
0.75,0.0,1.7344371e-05,0.9751984,0.53555554,0.0,1.0,0.0,0.0,0.6740792216817234,awake
